Name,GAR,AAV,Age,Pos
Carey.Price,33.6,6.5,27,G
Joe.Pavelski,29.4,6,30,W
Cory.Schneider,28,4,28,G
Alex.Ovechkin,28,9.538,28,W
Tyler.Seguin,25.1,5.75,22,C
Vladimir.Tarasenko,29.3,0.9,22,W
Jamie.Benn,24.8,5.25,25,W
Patrice.Bergeron,24.1,6.875,29,C
John.Tavares,25.4,5.5,23,C
Pavel.Datsyuk,25.9,7.5,36,C
Bryan.Little,23.1,4.7,26,C
Tomas.Tatar,23.4,2.75,23,W
Steven.Stamkos,24.1,7.5,24,C
Devan.Dubnyk,17.8,0.8,28,G
Sidney.Crosby,22.4,8.7,27,C
Evgeni.Malkin,18.8,9.5,28,C
Joe.Thornton,20.4,6.75,35,C
Nick.Foligno,20.3,3.383,26,W
Ryan.Getzlaf,24.8,8.25,29,C
Alex.Steen,20.8,5.8,30,W
Erik.Karlsson,19.7,6.5,24,D
Rick.Nash,20.7,7.8,30,W
Matt.Beleskey,22.3,1.35,26,W
Marc-Andre.Fleury,20.5,5,29,G
Jiri.Hudler,19.2,4,30,W
Marian.Gaborik,17.4,4.875,32,W
Mathieu.Perreault,16.7,3,26,C
T.J..Oshie,18,NA,27,W
Jakub.Voracek,16.8,4.25,25,W
Nikita.Kucherov,25.2,0.712,21,W
Tyler.Toffoli,16.7,0.717,22,W
Jeff.Carter,16.5,5.273,29,C
Wayne.Simmonds,16.2,3.975,26,W
Claude.Giroux,16.1,8.275,26,C
Corey.Crawford,16.1,6,29,G
Steve.Mason,15.9,4.1,26,G
Semyon.Varlamov,15.8,5.9,26,G
Justin.Abdelkader,15.8,1.8,27,W
Loui.Eriksson,15.5,4.25,29,W
Tyler.Johnson,23.3,3.333,24,C
Brad.Marchand,15.4,4.5,26,W
Blake.Wheeler,14.5,5.6,28,W
Andrew.Hammond,14.9,0.72,26,G
Jake.Muzzin,14.9,1,25,D
Ondrej.Pavelec,11.2,3.9,27,G
Anze.Kopitar,14.7,6.8,27,C
Braden.Holtby,23.5,1.85,24,G
Mike.Hoffman,15.3,0.75,24,W
Eddie.Lack,12.2,1.15,26,G
Justin.Williams,14.2,3.65,32,W
Mark.Stone,12.3,0.603,22,W
Jared.Spurgeon,14.2,2.667,24,D
Corey.Perry,19.7,8.625,29,W
Eric.Staal,13.8,8.25,29,C
Patrick.Eaves,13.8,0.65,30,W
Patrick.Kane,15.9,6.3,25,W
Anton.Stralman,15.7,4.5,28,D
Gustav.Nyquist,13.5,0.95,25,W
Mika.Zibanejad,13.2,0.894,21,C
Mike.Ribeiro,14,1.05,34,C
Jaden.Schwartz,14.3,2.35,22,W
Johnny.Gaudreau,13.9,0.925,21,W
Filip.Forsberg,15.1,0.894,20,W
Colin.Wilson,16.1,2,24,C
Zach.Parise,15.5,7.538,30,W
Nicklas.Backstrom,15.9,6.7,26,C
Michael.Raffl,12.8,1.1,25,W
Brent.Burns,12.3,5.76,29,D
Jordan.Eberle,12.2,6,24,W
Chris.Kunitz,12.9,3.85,34,W
Sami.Vatanen,12.9,1.262,23,D
Henrik.Sedin,13.3,7,33,C
Derick.Brassard,16.9,5,26,C
David.Backes,12.6,4.5,30,W
Nazem.Kadri,11.8,2.9,23,C
Chris.Kreider,14.2,2.475,23,W
Eric.Fehr,11.8,1.5,29,C
Ryan.Nugent-Hopkins,11.6,6,21,C
John.Klingberg,11.6,0.713,22,D
Duncan.Keith,13.3,5.538,31,D
Marcus.Johansson,9,2,23,C
Logan.Couture,11.4,6,25,C
Nino.Niederreiter,10.3,2.667,22,W
Kevin.Hayes,12.2,0.9,22,C
Lubomir.Visnovsky,12.4,4.75,38,D
Kris.Letang,11.1,7.25,27,D
Jason.Spezza,11.1,7,31,C
Brandon.Saad,17.9,0.764,21,W
Kevin.Shattenkirk,11.9,4.25,25,D
Scott.Darling,12,0.57,25,G
Brandon.Pirri,10.8,0.925,23,C
Andrew.Ladd,9.9,4.4,28,W
Kyle.Okposo,11,2.8,26,W
Ben.Bishop,12.1,2.3,27,G
Mark.Scheifele,9.4,0.863,21,C
Jason.Zucker,10,0.9,22,W
Torey.Krug,10.4,1.4,23,D
Ryan.Callahan,9,5.8,29,W
Alex.Burrows,10,4.5,33,W
P.K..Subban,13.8,NA,25,D
Mats.Zuccarello,9.9,3.5,27,W
Brock.Nelson,8.7,0.9,22,C
Dmitrij.Jaskin,8.9,0.803,21,W
Christopher.Tanev,9.4,2,24,D
Martin.St..Louis,6.3,NA,39,C
Tyson.Barrie,9.7,2.6,23,D
Daniel.Winnik,8.4,1.3,29,C
Oliver.Ekman-Larsson,9.6,5.5,23,D
Dustin.Byfuglien,8.9,5.2,29,D
Mattias.Ekholm,9.2,1.038,24,D
Jaroslav.Halak,10.8,4.5,29,G
Mikhail.Grabovski,9.3,5,30,C
Troy.Brouwer,10.2,3.667,29,W
Radim.Vrbata,7.7,5,33,W
Marc-Edouard.Vlasic,9.3,4.25,27,D
Nick.Bjugstad,9.2,0.9,22,C
Erik.Cole,9.2,4.5,35,W
Antti.Raanta,9.1,0.75,25,G
Aleksander.Barkov,9.1,0.925,19,C
Joel.Ward,12.1,3,33,W
Darren.Helm,9.1,2.125,27,C
Kyle.Turris,7.6,3.5,25,C
Patric.Hornqvist,10.2,4.25,27,W
Scott.Hartnell,8.9,4.75,32,W
Brent.Seabrook,6.7,5.8,29,D
Brendan.Gallagher,12.1,0.685,22,W
Dan.Boyle,10.8,4.5,38,D
Alex.Galchenyuk,8.5,0.925,20,W
David.Pastrnak,8.8,0.925,18,W
Max.Pacioretty,10.4,4.5,25,W
Riley.Sheahan,10.4,0.95,22,C
Paul.Stastny,10.8,7,28,C
Ryan.Strome,9.5,0.863,21,W
Ondrej.Palat,15,3.333,23,W
Tyler.Bozak,8.6,4.2,28,C
Shawn.Matthias,8.1,1.75,26,W
Nick.Leddy,8,2.7,23,D
Barret.Jackman,8.5,3.167,33,D
Sean.Couturier,8.3,1.75,21,C
Steve.Bernier,8.3,0.6,29,W
Calvin.Pickard,8.3,0.813,22,G
Ryan.Johansen,8.2,4,22,C
Anders.Lee,7.3,0.851,24,W
Mark.Arcobello,8.2,0.6,26,C
Ryan.O'Reilly,8.2,NA,23,C
Mikko.Koivu,8.1,6.75,31,C
Erik.Condra,8.7,1.25,28,W
Sean.Monahan,7.2,0.925,19,C
Henrik.Zetterberg,7.2,6.083,33,C
Benoit.Pouliot,8,4,27,W
Mikael.Granlund,7.8,0.9,22,C
Jarome.Iginla,8,5.333,37,W
Mike.Cammalleri,8,5,32,W
Justin.Fontaine,9.4,1,26,W
Cody.Eakin,7.7,1.9,23,C
James.Neal,10.5,5,27,W
Andrew.Cogliano,11.5,3,27,C
Frans.Nielsen,7.7,2.75,30,C
Andre.Burakovsky,10.3,0.925,19,C
Jannik.Hansen,8,2.5,28,W
Cam.Talbot,7.5,0.562,27,G
Mike.Fisher,7.3,4.2,34,C
Gabriel.Landeskog,7.5,5.5,21,W
Alex.Goligoski,7.4,4.6,29,D
Paul.Martin,6.2,5,33,D
Jason.Pominville,7,5.6,31,W
Ryan.Ellis,7.4,2.5,23,D
Tuukka.Rask,7.2,7,27,G
Michael.Frolik,7.4,3.3,26,W
Jake.Gardiner,7.2,4.05,24,D
Reilly.Smith,7.2,1.4,23,W
Nikolay.Kulemin,7.7,4.188,28,W
David.Jones,9.2,4,30,W
Josh.Jooris,7.6,0.925,24,C
Jaromir.Jagr,7,3.5,42,W
Mark.Giordano,7,4.02,30,D
Danny.Dekeyser,6.3,2.188,24,D
Charlie.Coyle,6.4,0.9,22,W
Jiri.Tlusty,6.6,2.95,26,W
Craig.Anderson,10,3.188,33,G
Johnny.Boychuk,6.1,3.367,30,D
Bryan.Bickell,3.8,4,28,W
Marko.Dano,6.7,0.925,19,C
Tanner.Pearson,6.7,0.736,22,W
Ian.Cole,6,0.825,25,D
Patrick.Marleau,6.6,6.667,35,W
Jonathan.Huberdeau,6.4,0.894,21,W
Clarke.MacArthur,6.3,3.25,29,W
Dougie.Hamilton,6.4,0.894,21,D
Chris.Terry,6.4,0.6,25,W
Matt.Dumba,6.7,0.894,20,D
Antoine.Roussel,6.4,2,24,W
Jordan.Staal,6.3,6,26,C
Victor.Hedman,11,4,23,D
David.Savard,6.3,1.3,23,D
Marco.Scandella,7,1.025,24,D
Alexander.Edler,5.5,5,28,D
Ryan.Suter,6,7.538,29,D
Jean-Gabriel.Pageau,6.2,0.613,21,C
Josh.Bailey,7.1,3.3,24,W
Calle.Jarnkrok,6,0.715,22,C
Seth.Jones,6.2,0.925,19,D
Jason.Demers,6,3.4,26,D
Stephen.Weiss,5.3,4.9,31,W
John.Carlson,9.2,3.967,24,D
Tomas.Plekanec,5,5,31,C
Justin.Faulk,5.9,4.833,22,D
Melker.Karlsson,5.8,0.825,24,W
J.T..Miller,5.1,NA,21,C
Kyle.Palmieri,4.2,1.467,23,W
Colton.Sceviour,5.7,0.65,25,W
Cam.Fowler,7.4,4,22,D
Alex.Killorn,9.3,2.55,25,W
Willie.Mitchell,5.6,4.25,37,D
Jacob.Trouba,3.6,0.894,20,D
Mikael.Backlund,4.4,1.5,25,C
