player_name,player_id,dob,last_game,elo,game_count,draft_info,draft_year,player_country,draft_oa,draft_league,Term,AAV,Pos,Team
Connor McDavid,8478402,1/13/1997,5/17/2016 7:48,1535.71963,112,1 OA (2015 EDM),2015,CAN,1,OHL,3,3775000,C,Oilers
Jack Eichel,8478403,10/28/1996,5/17/2016 7:59,1512.1908,39,2 OA (2015 BUF),2015,USA,2,H-EAST,3,3775000,C,Sabres
Noah Hanifin,8478396,1/25/1997,5/17/2016 7:59,1507.5351,31,5 OA (2015 CAR),2015,USA,5,H-EAST,3,3775000,D,Hurricanes
Dominik Simon,8478866,8/8/1994,5/13/2016 13:03,1497.55042,12,137 OA (2015 PIT),2015,CZE,137,CZREP,3,692500,F,Penguins
Aaron Ekblad,8477932,2/7/1996,3/28/2016 22:27,1521.75236,63,1 OA (2014 FLA),2014,CAN,1,OHL,3,3775000,D,Panthers
Sam Reinhart,8477933,11/6/1995,5/17/2016 7:46,1497.99658,42,2 OA (2014 BUF),2014,CAN,2,WHL,3,3575000,C,Sabres
Leon Draisaitl,8477934,10/27/1995,5/24/2016 11:27,1505.47408,18,3 OA (2014 EDM),2014,DEU,3,WHL,3,3400000,C,Oilers
Sam Bennett,8477935,6/20/1996,4/13/2016 13:25,1506.38574,33,4 OA (2014 CGY),2014,CAN,4,OHL,3,3225000,C,Flames
Jake Virtanen,8477937,8/17/1996,5/17/2016 7:47,1496.15708,20,6 OA (2014 VAN),2014,CAN,6,WHL,3,1775000,LW,Canucks
William Nylander,8477939,5/1/1996,3/28/2016 22:30,1500.02433,11,8 OA (2014 TOR),2014,CAN,8,SWEDEN,3,1775000,C,MapleLeafs
Nikolaj Ehlers,8477940,2/14/1996,2/8/2016 21:12,1505.21133,30,9 OA (2014 WPG),2014,DNK,9,QMJHL,3,1625000,LW,Jets
Dylan Larkin,8477946,7/30/1996,5/24/2016 10:43,1508.1195,38,15 OA (2014 DET),2014,USA,15,USHL,3,1425000,C,RedWings
Robby Fabbri,8477952,1/22/1996,5/17/2016 7:43,1496.39339,32,21 OA (2014 STL),2014,CAN,21,OHL,3,1137500,C,Blues
Jared McCann,8477955,5/31/1996,5/17/2016 7:43,1492.08507,42,24 OA (2014 VAN),2014,CAN,24,OHL,3,1137500,LW,Canucks
David Pastrnak,8477956,5/25/1996,2/8/2016 21:01,1511.33807,62,25 OA (2014 BOS),2014,CZE,25,SWEDEN-2,3,925000,RW,Bruins
Nikita Tryamkin,8477997,8/30/1994,5/24/2016 10:54,1499.3166,13,66 OA (2014 VAN),2014,RUS,66,RUSSIA,2,925000,D,Canucks
Rinat Valiev,8477642,5/11/1995,5/24/2016 10:54,1497.55973,9,68 OA (2014 TOR),2014,RUS,68,WHL,3,925000,D,MapleLeafs
Viktor Arvidsson,8478042,4/8/1993,4/28/2016 11:36,1488.97736,64,112 OA (2014 NSH),2014,SWE,112,SWEDEN,3,631667,LW,Predators
Nathan MacKinnon,8477492,9/1/1995,5/17/2016 7:43,1524.94032,72,1 OA (2013 COL),2013,CAN,1,QMJHL,3,3775000,RW,Avalanche
Aleksander Barkov,8477493,9/2/1995,5/24/2016 11:39,1523.96757,85,2 OA (2013 FLA),2013,FIN,2,FINLAND,6,5900000,C,Panthers
Seth Jones,8477495,10/3/1994,5/24/2016 11:27,1516.71542,71,4 OA (2013 NSH),2013,USA,4,WHL,3,3225000,D,BlueJackets
Elias Lindholm,8477496,12/2/1994,4/20/2016 18:28,1508.24186,60,5 OA (2013 CAR),2013,SWE,5,SWEDEN,2,2700000,RW,Hurricanes
Sean Monahan,8477497,10/12/1994,5/24/2016 11:39,1514.95909,74,6 OA (2013 CGY),2013,CAN,6,OHL,3,1775000,C,Flames
Darnell Nurse,8477498,2/4/1995,5/24/2016 11:32,1495.04489,15,7 OA (2013 EDM),2013,CAN,7,OHL,3,1775000,D,Oilers
Rasmus Ristolainen,8477499,10/27/1994,5/24/2016 11:28,1510.39092,60,8 OA (2013 BUF),2013,FIN,8,FINLAND,3,1775000,D,Sabres
Bo Horvat,8477500,4/5/1995,3/28/2016 17:00,1502.42624,57,9 OA (2013 VAN),2013,CAN,9,OHL,3,1775000,C,Canucks
Valeri Nichushkin,8477501,3/4/1995,5/17/2016 9:00,1514.26487,75,10 OA (2013 DAL),2013,RUS,10,KHL,3,2125000,RW,Stars
Max Domi,8477503,3/2/1995,5/13/2016 12:38,1509.9649,27,12 OA (2013 PHX),2013,CAN,12,OHL,3,1425000,C,Coyotes
Alexander Wennberg,8477505,9/22/1994,5/17/2016 7:59,1488.17624,76,14 OA (2013 CBJ),2013,SWE,14,SWEDEN-2,3,1400000,C,BlueJackets
Ryan Pulock,8477506,10/6/1994,5/17/2016 9:01,1500.06312,40,15 OA (2013 NYI),2013,CAN,15,WHL,3,1425000,D,Islanders
Curtis Lazar,8477508,2/2/1995,3/2/2016 16:18,1492.87303,77,17 OA (2013 OTT),2013,CAN,17,WHL,3,1285000,RW,Senators
Andre Burakovsky,8477444,2/9/1995,2/4/2016 22:04,1505.5204,83,23 OA (2013 WSH),2013,AUT,23,SWEDEN-2,3,925000,LW,Capitals
Marko Dano,8477448,11/30/1994,3/28/2016 17:10,1504.46542,58,27 OA (2013 CBJ),2013,AUT,27,KHL,3,925000,RW,Jets
Chris Bigras,8477453,2/22/1995,5/24/2016 10:54,1497.67234,16,32 OA (2013 COL),2013,CAN,32,OHL,3,925000,D,Avalanche
Jacob De La Rose,8477455,5/20/1995,1/20/2016 20:07,1492.0556,40,34 OA (2013 MTL),2013,SWE,34,SWEDEN-2,3,925000,LW,Canadiens
Brett Pesce,8477488,11/15/1994,5/17/2016 9:02,1497.85903,12,66 OA (2013 CAR),2013,USA,66,H-EAST,3,809167,D,Hurricanes
Mattias Janmark,8477406,12/8/1992,5/13/2016 13:03,1497.14419,37,79 OA (2013 DET),2013,SWE,79,SWEDEN,2,800000,C,Stars
Anthony Duclair,8477407,8/26/1995,5/24/2016 10:51,1505.80769,22,80 OA (2013 NYR),2013,CAN,80,QMJHL,3,925000,LW,Coyotes
Sven Andrighetto,8477413,3/21/1993,5/24/2016 10:51,1499.55392,3,86 OA (2013 MTL),2013,CHE,86,QMJHL,3,750000,RW,Canadiens
Andrew Copp,8477429,7/8/1994,4/13/2016 12:47,1478.39732,92,104 OA (2013 WPG),2013,USA,104,CCHA,3,925000,C,Jets
Nail Yakupov,8476855,10/6/1993,3/28/2016 22:17,1502.91879,82,1 OA (2012 EDM),2012,RUS,1,OHL,2,2500000,RW,Oilers
